lane,from_frame_start,from_frame_end,from_source,from_step,from_time_ns,to_source,to_step,to_time_ns,from_state,to_state,from_run_len_frames,from_run_len_ps
npbc,4110,4114,prod,2555000,2.054501,prod,2557500,2.057001,alphaL,alphaL_C7ax,5,2.5
npbc,4115,4131,prod,2557500,2.057001,prod,2566000,2.065501,alphaL_C7ax,alphaL,17,8.5
npbc,4132,4132,prod,2566000,2.065501,prod,2566500,2.066001,alphaL,alphaL_C7ax,1,0.5
npbc,4133,4133,prod,2566500,2.066001,prod,2567000,2.066501,alphaL_C7ax,alphaL,1,0.5
npbc,4134,4135,prod,2567000,2.066501,prod,2568000,2.067501,alphaL,alphaL_C7ax,2,1.0
npbc,4136,4137,prod,2568000,2.067501,prod,2569000,2.068501,alphaL_C7ax,alphaL,2,1.0
npbc,4138,4139,prod,2569000,2.068501,prod,2570000,2.069501,alphaL,alphaL_C7ax,2,1.0
npbc,4140,4148,prod,2570000,2.069501,prod,2574500,2.074001,alphaL_C7ax,alphaL,9,4.5
npbc,4149,4149,prod,2574500,2.074001,prod,2575000,2.074501,alphaL,alphaL_C7ax,1,0.5
npbc,4150,4204,prod,2575000,2.074501,prod,2602500,2.102001,alphaL_C7ax,C5,55,27.5
npbc,4205,4245,prod,2602500,2.102001,prod,2623000,2.1225009999999997,C5,PPII,41,20.5
npbc,4246,4246,prod,2623000,2.1225009999999997,prod,2623500,2.123001,PPII,C5,1,0.5
npbc,4247,4248,prod,2623500,2.123001,prod,2624500,2.124001,C5,PPII,2,1.0
npbc,4249,4249,prod,2624500,2.124001,prod,2625000,2.124501,PPII,C5,1,0.5
npbc,4250,4276,prod,2625000,2.124501,prod,2638500,2.138001,C5,PPII,27,13.5
npbc,4277,4278,prod,2638500,2.138001,prod,2639500,2.139001,PPII,C5,2,1.0
npbc,4279,4324,prod,2639500,2.139001,prod,2662500,2.162001,C5,PPII,46,23.0
npbc,4325,4326,prod,2662500,2.162001,prod,2663500,2.163001,PPII,C5,2,1.0
npbc,4327,4421,prod,2663500,2.163001,prod,2711000,2.210501,C5,PPII,95,47.5
npbc,4422,4422,prod,2711000,2.210501,prod,2711500,2.211001,PPII,C5,1,0.5
npbc,4423,4648,prod,2711500,2.211001,prod,2824500,2.324001,C5,PPII,226,113.0
npbc,4649,4649,prod,2824500,2.324001,prod,2825000,2.324501,PPII,C5,1,0.5
npbc,4650,4654,prod,2825000,2.324501,prod,2827500,2.327001,C5,PPII,5,2.5
npbc,4655,4655,prod,2827500,2.327001,prod,2828000,2.327501,PPII,C5,1,0.5
npbc,4656,4739,prod,2828000,2.327501,prod,2870000,2.369501,C5,C7ax,84,42.0
npbc,4740,4745,prod,2870000,2.369501,prod,2873000,2.3725009999999997,C7ax,C5,6,3.0
npbc,4746,4839,prod,2873000,2.3725009999999997,prod,2920000,2.419501,C5,alphaR,94,47.0
npbc,4840,4846,prod,2920000,2.419501,prod,2923500,2.4230009999999997,alphaR,alpha_prime,7,3.5
npbc,4847,4847,prod,2923500,2.4230009999999997,prod,2924000,2.423501,alpha_prime,alphaR,1,0.5
npbc,4848,4853,prod,2924000,2.423501,prod,2927000,2.426501,alphaR,C5,6,3.0
npbc,4854,4874,prod,2927000,2.426501,prod,2937500,2.437001,C5,C7eq,21,10.5
npbc,4875,4875,prod,2937500,2.437001,prod,2938000,2.437501,C7eq,C5,1,0.5
npbc,4876,4876,prod,2938000,2.437501,prod,2938500,2.438001,C5,PPII,1,0.5
npbc,4877,4877,prod,2938500,2.438001,prod,2939000,2.438501,PPII,C5,1,0.5
npbc,4878,4933,prod,2939000,2.438501,prod,2967000,2.466501,C5,C7eq,56,28.0
npbc,4934,4934,prod,2967000,2.466501,prod,2967500,2.4670009999999998,C7eq,PPII,1,0.5
npbc,4935,4935,prod,2967500,2.4670009999999998,prod,2968000,2.467501,PPII,C7eq,1,0.5
npbc,4936,4936,prod,2968000,2.467501,prod,2968500,2.468001,C7eq,C5,1,0.5
npbc,4937,4937,prod,2968500,2.468001,prod,2969000,2.468501,C5,PPII,1,0.5
npbc,4938,4939,prod,2969000,2.468501,prod,2970000,2.4695009999999997,PPII,C7eq,2,1.0
npbc,4940,4941,prod,2970000,2.4695009999999997,prod,2971000,2.470501,C7eq,PPII,2,1.0
npbc,4942,4942,prod,2971000,2.470501,prod,2971500,2.471001,PPII,C7eq,1,0.5
npbc,4943,4944,prod,2971500,2.471001,prod,2972500,2.472001,C7eq,C5,2,1.0
